event_id,actor_id,actor_type_id,group_num,affiliation
8004865,472,6,1,primary
8005034,472,6,1,primary
7934423,472,6,1,primary
7923612,472,6,1,primary
7923361,472,6,1,primary
7898441,472,6,1,primary
7898477,472,6,1,primary
7898479,472,6,1,primary
7803470,472,6,1,primary
7803955,472,6,1,primary
7766719,472,6,1,primary
7751835,472,6,1,primary
7751685,472,6,1,primary
7608743,472,6,1,primary
7667913,472,6,1,primary
7667919,472,6,1,primary
7607071,472,6,1,primary
7609425,472,6,1,primary
7668094,472,6,1,primary
7695409,472,6,1,primary
7605309,472,6,1,primary
7605001,472,6,1,primary
7604162,472,6,1,primary
7604214,472,6,1,primary
7668448,472,6,1,primary
7595312,472,6,1,primary
7753110,472,6,1,primary
7609352,472,6,1,primary
7752629,472,6,1,primary
7594504,472,6,1,primary
7608343,472,6,1,primary
7594503,472,6,1,primary
7603617,472,6,1,primary
7603483,472,6,1,primary
7603347,472,6,1,primary
7603249,472,6,1,primary
7602874,472,6,1,primary
7602660,472,6,1,primary
7602224,472,6,1,primary
7602037,472,6,1,primary
7602042,472,6,1,primary
7602048,472,6,1,primary
7601178,472,6,1,primary
7698737,472,6,1,primary
7600217,472,6,1,primary
7600265,472,6,1,primary
7599752,472,6,1,primary
7599214,472,6,1,primary
7598730,496,5,1,primary
7615043,496,5,1,primary
7617304,472,6,1,primary
7695152,472,6,1,primary
7695132,472,6,1,primary
8005139,472,6,1,primary
8005040,472,6,1,primary
7934438,472,6,1,primary
7898331,472,6,1,primary
7898457,472,6,1,primary
7613186,472,6,1,primary
7610238,472,6,1,primary
7608719,472,6,1,primary
7667586,136,7,1,primary
7607889,472,6,1,primary
7739977,472,6,1,primary
7607140,472,6,1,primary
7609423,472,6,1,primary
7606139,472,6,1,primary
7604405,472,6,1,primary
7695248,472,6,1,primary
7597784,472,6,1,primary
7597143,472,6,1,primary
7597085,472,6,1,primary
7740251,472,6,1,primary
7740129,472,6,1,primary
7596096,472,6,1,primary
7610997,472,6,1,primary
7594527,472,6,1,primary
7594100,472,6,1,primary
7594524,472,6,1,primary
7595028,472,6,1,primary
7594904,472,6,1,primary
