csa_id,csa_fips,name
522,522,"Springfield-Jacksonville-Lincoln, IL"
540,540,"Tyler-Jacksonville, TX"
324,324,"Lake Charles-Jennings, LA"
304,304,"Johnson City-Kingsport-Bristol, TN-VA"
306,306,"Johnstown-Somerset, PA"
308,308,"Jonesboro-Paragould, AR"
309,309,"Joplin-Miami, MO-OK"
313,313,"Kennewick-Richland-Walla Walla, WA"
370,370,"Miami-Port St. Lucie-Fort Lauderdale, FL"
315,315,"Knoxville-Morristown-Sevierville, TN"
316,316,"Kokomo-Peru, IN"
318,318,"Lafayette-Opelousas-Morgan City, LA"
332,332,"Las Vegas-Henderson, NV"
400,400,"Nashville-Davidson--Murfreesboro, TN"
352,352,"Lubbock-Plainview-Levelland, TX"
438,438,"Portland-Lewiston-South Portland, ME"
340,340,"Little Rock-North Little Rock, AR"
558,558,"Williamsport-Lock Haven, PA"
348,348,"Los Angeles-Long Beach, CA"
356,356,"Macon-Bibb County--Warner Robins, GA"
359,359,"Mankato-New Ulm, MN"
425,425,"Parkersburg-Marietta-Vienna, WV-OH"
362,362,"Martin-Union City, TN"
364,364,"Mayagüez-San Germán, PR"
424,424,"Paducah-Mayfield, KY-IL"
365,365,"McAllen-Edinburg, TX"
488,488,"San Jose-San Francisco-Oakland, CA"
372,372,"Midland-Odessa, TX"
508,508,"Shreveport-Bossier City-Minden, LA"
384,384,"Monroe-Ruston, LA"
404,404,"New Bern-Morehead City, NC"
446,446,"Pullman-Moscow, WA-ID"
393,393,"Moses Lake-Othello, WA"
536,536,"Tucson-Nogales, AZ"
416,416,"Oklahoma City-Shawnee, OK"
429,429,"Phoenix-Mesa, AZ"
484,484,"San Antonio-New Braunfels-Pearsall, TX"
544,544,"Victoria-Port Lavaca, TX"
452,452,"Rapid City-Spearfish, SD"
454,454,"Redding-Red Bluff, CA"
468,468,"Rocky Mount-Wilson-Roanoke Rapids, NC"
472,472,"Sacramento-Roseville, CA"
566,566,"Youngstown-Warren, OH-PA"
517,517,"Spencer-Spirit Lake, IA"
554,554,"Wausau-Stevens Point-Wisconsin Rapids, WI"
556,556,"Wichita-Winfield, KS"
